Date,Adj Close,Close,High,Low,Open,Volume
2016-07-11,388.3166198730469,402.6499938964844,407.0,401.6000061035156,405.20001220703125,896345
2016-07-12,391.59552001953125,406.04998779296875,408.45001220703125,398.0,404.1499938964844,602537
2016-07-13,390.39007568359375,404.79998779296875,407.3999938964844,401.0,406.1499938964844,996482
2016-07-14,400.1304931640625,414.8999938964844,416.79998779296875,406.29998779296875,408.0,1007303
2016-07-15,402.87908935546875,417.75,435.0,415.04998779296875,426.5,2849329
2016-07-18,399.0697021484375,413.79998779296875,422.0,391.5,422.0,613955
2016-07-19,398.539306640625,413.25,415.3500061035156,409.5,413.8999938964844,614051
2016-07-20,397.43023681640625,412.1000061035156,417.3999938964844,407.20001220703125,409.0,537315
2016-07-21,394.6334533691406,409.20001220703125,414.29998779296875,406.25,412.0,316459
2016-07-22,395.11566162109375,409.70001220703125,412.1499938964844,405.70001220703125,410.0,562267
2016-07-25,398.05706787109375,412.75,416.5,409.0,411.0,704244
2016-07-26,399.2625427246094,414.0,419.3500061035156,411.20001220703125,414.5,675183
2016-07-27,397.04443359375,411.70001220703125,416.3999938964844,407.20001220703125,414.29998779296875,529343
2016-07-28,411.4140625,426.6000061035156,432.5,410.54998779296875,411.70001220703125,1930303
2016-07-29,406.399169921875,421.3999938964844,427.5,419.5,425.1000061035156,524658
2016-08-01,407.2671203613281,422.29998779296875,426.0,416.5,423.1000061035156,527565
2016-08-02,408.37615966796875,423.45001220703125,429.0,421.6499938964844,422.95001220703125,737731
2016-08-03,399.98583984375,414.75,427.0,395.29998779296875,424.70001220703125,3494599
2016-08-04,393.66900634765625,408.20001220703125,411.6499938964844,398.1000061035156,410.0,1763216
2016-08-05,401.6253967285156,416.45001220703125,418.1499938964844,404.5,410.0,1055018
2016-08-08,404.75970458984375,419.70001220703125,422.20001220703125,415.0,420.0,616890
2016-08-09,405.1455078125,420.1000061035156,421.75,405.0,405.0,813302
2016-08-10,389.5703430175781,403.95001220703125,420.1000061035156,402.3500061035156,420.1000061035156,915542
2016-08-11,386.0984802246094,400.3500061035156,405.95001220703125,398.45001220703125,404.79998779296875,1784058
2016-08-12,387.6415710449219,401.95001220703125,407.79998779296875,399.6000061035156,401.20001220703125,1055193
2016-08-16,390.1489562988281,404.54998779296875,407.8999938964844,392.5,402.1499938964844,985377
2016-08-17,390.24542236328125,404.6499938964844,409.8999938964844,401.1000061035156,404.8500061035156,902574
2016-08-18,383.976806640625,398.1499938964844,407.79998779296875,397.1000061035156,405.0,745822
2016-08-19,387.68975830078125,402.0,403.3500061035156,394.1499938964844,400.0,1115131
2016-08-22,388.60589599609375,402.95001220703125,406.5,399.1499938964844,402.5,618307
2016-08-23,392.2706298828125,406.75,407.5,401.6000061035156,403.0,1353924
2016-08-24,389.7632141113281,404.1499938964844,410.3500061035156,401.6000061035156,406.8999938964844,568052
2016-08-25,381.035400390625,395.1000061035156,408.1000061035156,392.0,405.45001220703125,1667694
2016-08-26,391.3062438964844,405.75,407.29998779296875,398.04998779296875,398.3999938964844,586830
2016-08-29,388.84698486328125,403.20001220703125,405.8500061035156,400.25,405.75,232134
2016-08-30,393.0904235839844,407.6000061035156,410.5,402.1000061035156,403.95001220703125,866952
2016-08-31,403.6023864746094,418.5,420.25,408.0,408.0,1679311
