Date,Adj Close,Close,High,Low,Open,Volume
2016-07-11,484.3409118652344,522.0,528.25,520.0,525.4000244140625,1441960
2016-07-12,478.495361328125,515.7000122070312,522.9000244140625,514.0999755859375,522.5,891315
2016-07-13,477.4747619628906,514.5999755859375,519.4500122070312,511.20001220703125,516.0,1202156
2016-07-14,475.0159912109375,511.95001220703125,516.5999755859375,507.0,515.9000244140625,1257722
2016-07-15,479.1448669433594,516.4000244140625,518.9000244140625,510.20001220703125,513.9500122070312,1004156
2016-07-18,470.3766174316406,506.95001220703125,517.2999877929688,505.29998779296875,517.0499877929688,1459230
2016-07-19,469.3096008300781,505.79998779296875,510.3999938964844,500.54998779296875,507.0,1027246
2016-07-20,480.490234375,517.8499755859375,519.4000244140625,505.25,507.45001220703125,3584904
2016-07-21,478.6344909667969,515.8499755859375,526.9500122070312,514.0,522.5,2274652
2016-07-22,482.8562927246094,520.4000244140625,522.9000244140625,512.3499755859375,516.0,1188747
2016-07-25,486.7532653808594,524.5999755859375,526.5,513.0,514.0499877929688,1337348
2016-07-26,485.7789611816406,523.5499877929688,530.1500244140625,521.75,527.5,2105457
2016-07-27,485.40789794921875,523.1500244140625,529.1500244140625,516.9500122070312,523.0,894972
2016-07-28,483.0882873535156,520.6500244140625,527.9500122070312,519.0,523.9000244140625,1347889
2016-07-29,489.351318359375,527.4000244140625,535.5,520.0,522.4000244140625,1785352
2016-08-01,486.2429504394531,524.0499877929688,535.0,521.5,528.7999877929688,955999
2016-08-02,480.53668212890625,517.9000244140625,529.9500122070312,516.2000122070312,525.0999755859375,1009436
2016-08-03,491.2533874511719,529.4500122070312,534.9000244140625,515.2999877929688,517.0,1846161
2016-08-04,488.93377685546875,526.9500122070312,534.0,523.0,531.2000122070312,1564658
2016-08-05,494.77923583984375,533.25,534.5999755859375,527.25,530.9000244140625,699384
2016-08-08,496.774169921875,535.4000244140625,541.2000122070312,531.9500122070312,533.9000244140625,852842
2016-08-09,494.50091552734375,532.9500122070312,540.0,530.1500244140625,537.7999877929688,886532
2016-08-10,483.6450500488281,521.25,533.9500122070312,519.5,532.5,809814
2016-08-11,486.15020751953125,523.9500122070312,525.5,517.9000244140625,521.5,761596
2016-08-12,478.7273254394531,515.9500122070312,526.4000244140625,512.0999755859375,524.0,2124886
2016-08-16,514.17138671875,554.1500244140625,557.5499877929688,510.20001220703125,510.20001220703125,8817547
2016-08-17,510.1815490722656,549.8499755859375,564.0,547.2000122070312,552.0,3819727
2016-08-18,512.7796630859375,552.6500244140625,557.5,548.0,553.7000122070312,1434412
2016-08-19,516.6302490234375,556.7999877929688,560.5499877929688,552.5,552.8499755859375,1598177
2016-08-22,517.37255859375,557.5999755859375,564.9000244140625,552.2999877929688,557.0,1218782
2016-08-23,515.5631713867188,555.6500244140625,557.75,552.0499877929688,557.5999755859375,874783
2016-08-24,526.280029296875,567.2000122070312,572.0,553.8499755859375,559.7999877929688,2340210
2016-08-25,522.2902221679688,562.9000244140625,574.5499877929688,560.0,570.0,3471437
2016-08-26,526.3263549804688,567.25,571.7000122070312,562.3499755859375,567.5,2196070
2016-08-29,527.0222778320312,568.0,570.3499755859375,562.9000244140625,568.2999877929688,1085860
2016-08-30,534.5377807617188,576.0999755859375,581.4500122070312,567.7000122070312,570.0,1075723
2016-08-31,531.6151123046875,572.9500122070312,587.5,570.0,581.0499877929688,3596264
