Date,Adj Close,Close,High,Low,Open,Volume
2016-07-11,273.55169677734375,299.9375,300.4750061035156,295.26251220703125,296.5,5102532
2016-07-12,274.0989074707031,300.5375061035156,302.4750061035156,298.88751220703125,302.4750061035156,7046032
2016-07-13,273.0955810546875,299.4375,300.48748779296875,298.32501220703125,299.95001220703125,6687072
2016-07-14,273.6884765625,300.0874938964844,300.5375061035156,298.04998779296875,300.25,3459668
2016-07-15,279.0124206542969,305.92498779296875,306.5,298.7749938964844,300.95001220703125,5774216
2016-07-18,279.86749267578125,306.86248779296875,309.625,305.6625061035156,306.25,4438484
2016-07-19,277.7926025390625,304.5874938964844,307.6875,303.4624938964844,307.25,2586004
2016-07-20,280.9504699707031,308.04998779296875,309.625,305.4375,305.75,4690332
2016-07-21,280.1296691894531,307.1499938964844,309.9750061035156,305.625,307.67498779296875,9112904
2016-07-22,280.63128662109375,307.70001220703125,308.6625061035156,305.375,308.3374938964844,5620272
2016-07-25,284.3136291503906,311.73748779296875,312.36248779296875,306.75,308.25,9872884
2016-07-26,282.45538330078125,309.70001220703125,311.4125061035156,308.7875061035156,310.6000061035156,5665992
2016-07-27,282.0334777832031,309.23748779296875,311.88751220703125,307.5,310.25,10734736
2016-07-28,284.6556091308594,312.11248779296875,312.8125,308.88751220703125,309.5,10646528
2016-07-29,284.142578125,311.54998779296875,312.5,308.75,312.0,3395676
2016-08-01,283.25341796875,310.57501220703125,314.73748779296875,306.9125061035156,312.25,5560864
2016-08-02,283.4813537597656,310.82501220703125,314.11248779296875,310.1000061035156,311.75,5329396
2016-08-03,282.83154296875,310.11248779296875,312.48748779296875,307.75,310.2749938964844,4733876
2016-08-04,282.9569396972656,310.25,311.67498779296875,308.3999938964844,311.6499938964844,4662880
2016-08-05,284.8380126953125,312.3125,313.9125061035156,310.4375,311.8500061035156,5784912
2016-08-08,284.9178466796875,312.3999938964844,313.75,311.13751220703125,313.2250061035156,4728776
2016-08-09,284.37060546875,311.79998779296875,313.2250061035156,309.42498779296875,313.2250061035156,4210856
2016-08-10,279.7420654296875,306.7250061035156,312.73748779296875,304.9375,311.25,3619720
2016-08-11,280.0498352050781,307.0625,308.75,305.5,306.70001220703125,2856072
2016-08-12,280.1524658203125,307.17498779296875,308.75,304.8500061035156,307.76251220703125,4641496
2016-08-16,279.8332214355469,306.82501220703125,309.61248779296875,303.45001220703125,308.25,3468568
2016-08-17,281.5661315917969,308.7250061035156,309.375,306.5,308.3500061035156,5511036
2016-08-18,285.5790100097656,313.125,313.7250061035156,308.63751220703125,309.5,6111656
2016-08-19,284.3478088378906,311.7749938964844,312.5,310.36248779296875,312.5,4110636
2016-08-22,285.07745361328125,312.57501220703125,313.61248779296875,310.25,311.26251220703125,5501292
2016-08-23,285.339599609375,312.86248779296875,313.5,311.51251220703125,312.75,5314524
2016-08-24,287.6994934082031,315.45001220703125,316.04998779296875,311.76251220703125,313.01251220703125,5570936
2016-08-25,286.9585266113281,314.63751220703125,316.70001220703125,313.57501220703125,316.0,8729888
2016-08-26,286.62786865234375,314.2749938964844,315.4750061035156,313.4750061035156,315.0,2521136
2016-08-29,282.2957763671875,309.5249938964844,313.875,309.04998779296875,313.875,2944184
2016-08-30,289.2613830566406,317.1625061035156,317.625,310.98748779296875,311.2749938964844,9867608
2016-08-31,294.4029235839844,322.79998779296875,323.75,316.375,317.25,11161364
2016-09-01,292.69287109375,320.92498779296875,322.5,318.8500061035156,322.0,5224676
2016-09-02,293.0120544433594,321.2749938964844,322.25,320.2875061035156,321.375,3955188
2016-09-06,296.50054931640625,325.1000061035156,325.9750061035156,322.51251220703125,322.51251220703125,5508884
2016-09-07,293.3882751464844,321.6875,326.25,320.7749938964844,325.25,4016444
2016-09-08,293.99249267578125,322.3500061035156,323.8125,320.8999938964844,322.5,2905380
2016-09-09,294.22052001953125,322.6000061035156,323.625,319.57501220703125,322.5,4013768
2016-09-12,291.826416015625,319.9750061035156,321.1000061035156,317.875,318.67498779296875,3985728
2016-09-14,289.4437561035156,317.36248779296875,319.25,316.3500061035156,318.75,3849508
2016-09-15,291.7580261230469,319.8999938964844,320.9750061035156,317.4624938964844,318.0,3501812
2016-09-16,295.919189453125,324.4624938964844,326.125,320.95001220703125,320.95001220703125,6525816
2016-09-19,294.1634826660156,322.5375061035156,325.625,322.0,324.25,5894832
2016-09-20,293.7759094238281,322.11248779296875,323.75,321.01251220703125,323.1625061035156,3778248
2016-09-21,294.81329345703125,323.25,324.5,321.9750061035156,323.0,4256400
2016-09-22,297.9826354980469,326.7250061035156,329.23748779296875,325.13751220703125,326.25,6555800
2016-09-23,299.3050537109375,328.17498779296875,329.61248779296875,325.375,326.51251220703125,4876808
2016-09-26,295.5315856933594,324.0375061035156,327.2250061035156,323.42498779296875,326.5249938964844,5576772
2016-09-27,295.9648132324219,324.51251220703125,326.5375061035156,323.7124938964844,324.75,4056812
2016-09-28,295.32635498046875,323.8125,325.0,322.25,324.9750061035156,4989652
2016-09-29,291.2792053222656,319.375,326.5,316.98748779296875,324.48748779296875,16450012
2016-09-30,290.2189636230469,318.2124938964844,320.25,316.8500061035156,319.2749938964844,4138428
2016-10-03,293.4908447265625,321.79998779296875,322.4750061035156,319.1000061035156,320.25,3900548
2016-10-04,294.0267028808594,322.38751220703125,323.75,320.57501220703125,322.1499938964844,2775512
2016-10-05,293.2401123046875,321.5249938964844,325.01251220703125,319.1000061035156,324.5,3647020
2016-10-06,292.2938232421875,320.48748779296875,323.8999938964844,319.76251220703125,321.7749938964844,2895712
2016-10-07,291.9859924316406,320.1499938964844,321.9375,319.0625,321.0,3337464
2016-10-10,292.8410339355469,321.0874938964844,321.9750061035156,319.6875,321.25,4719312
2016-10-13,287.9161376953125,315.6875,319.75,314.11248779296875,319.75,4519356
2016-10-14,287.6994934082031,315.45001220703125,317.0,313.5,316.4375,4067116
2016-10-17,282.2045593261719,309.42498779296875,316.6000061035156,308.1875,316.375,5135360
2016-10-18,286.798828125,314.4624938964844,315.0,309.75,310.79998779296875,2610968
2016-10-19,286.9128723144531,314.5874938964844,315.75,312.0,315.2749938964844,3044904
2016-10-20,286.2630615234375,313.875,316.86248779296875,312.75,315.0625,3200356
2016-10-21,289.728759765625,317.67498779296875,318.23748779296875,312.5,314.0,3956408
2016-10-24,288.0985412597656,315.88751220703125,319.2124938964844,315.26251220703125,317.9375,3255664
2016-10-25,285.07745361328125,312.57501220703125,317.0,311.01251220703125,317.0,5501796
2016-10-26,282.5693054199219,309.82501220703125,316.25,308.76251220703125,310.8374938964844,5366540
2016-10-27,285.4878234863281,313.0249938964844,314.25,306.0375061035156,309.75,11623860
2016-10-28,287.072509765625,314.76251220703125,315.4750061035156,310.0249938964844,313.625,5320536
2016-11-01,287.2434997558594,314.95001220703125,315.9624938964844,311.76251220703125,314.0,3402416
2016-11-02,284.13116455078125,311.5375061035156,313.92498779296875,310.375,312.7749938964844,6474432
2016-11-03,286.13763427734375,313.73748779296875,315.0,307.9375,311.25,6315812
2016-11-04,283.57257080078125,310.92498779296875,313.20001220703125,310.4375,313.20001220703125,5734920
2016-11-07,284.88360595703125,312.36248779296875,313.7124938964844,310.0,313.0,5671392
2016-11-08,285.98944091796875,313.57501220703125,314.5,310.0249938964844,312.7749938964844,5348164
2016-11-09,285.2940368652344,312.8125,314.3500061035156,298.8374938964844,300.0,13645468
2016-11-10,291.5185852050781,319.63751220703125,320.75,313.5249938964844,315.9375,10700736
2016-11-11,290.8916015625,318.95001220703125,320.5,316.3999938964844,318.5,7139320
2016-11-15,286.09210205078125,313.6875,322.25,312.6625061035156,319.375,12512524
2016-11-16,283.7208251953125,311.0874938964844,317.0,310.01251220703125,317.0,8647744
2016-11-17,280.4944763183594,307.54998779296875,312.2250061035156,306.2875061035156,309.57501220703125,4815624
2016-11-18,276.2080078125,302.8500061035156,309.0,302.29998779296875,309.0,6879900
2016-11-21,273.3122253417969,299.67498779296875,304.875,297.0874938964844,304.875,5552520
2016-11-22,273.1640319824219,299.51251220703125,301.70001220703125,297.3374938964844,301.70001220703125,10017784
2016-11-23,270.13153076171875,296.1875,300.75,295.2749938964844,300.75,3532692
2016-11-24,265.7424011230469,291.375,296.57501220703125,290.2250061035156,296.0,15285996
2016-11-25,271.16900634765625,297.32501220703125,298.29998779296875,289.5,292.25,5969960
2016-11-28,270.06317138671875,296.11248779296875,299.7250061035156,294.5249938964844,295.0625,4130180
2016-11-29,268.7635192871094,294.6875,298.23748779296875,294.125,296.17498779296875,3932644
2016-11-30,273.5174865722656,299.8999938964844,300.5,295.2749938964844,296.25,6442840
2016-12-01,272.9816589355469,299.3125,301.9750061035156,298.25,300.57501220703125,4476984
2016-12-02,271.1233825683594,297.2749938964844,300.48748779296875,294.17498779296875,297.25,4062672
2016-12-05,272.77642822265625,299.0874938964844,299.73748779296875,294.125,296.8999938964844,4551936
2016-12-06,272.3431701660156,298.61248779296875,300.7124938964844,297.54998779296875,298.75,2702964
2016-12-07,269.4133605957031,295.3999938964844,301.4750061035156,291.75,300.4624938964844,5628192
2016-12-08,273.4946594238281,299.875,301.38751220703125,296.75,296.75,4309696
2016-12-09,273.22100830078125,299.57501220703125,300.57501220703125,297.0,299.7749938964844,4387952
2016-12-12,270.06317138671875,296.11248779296875,298.0375061035156,295.2749938964844,298.0,3425272
2016-12-13,270.4735107421875,296.5625,297.5874938964844,294.63751220703125,295.0625,2526868
2016-12-14,268.0680847167969,293.92498779296875,297.0,293.3500061035156,296.75,4314144
2016-12-15,268.27325439453125,294.1499938964844,298.625,290.8999938964844,291.04998779296875,4941488
2016-12-16,269.57293701171875,295.57501220703125,296.25,292.88751220703125,294.1499938964844,3255828
2016-12-19,268.3074951171875,294.1875,294.875,292.625,294.20001220703125,3160436
2016-12-20,269.4817199707031,295.4750061035156,296.25,292.92498779296875,294.0,4189992
2016-12-21,269.04852294921875,295.0,296.25,293.75,296.0,2658876
2016-12-22,267.4752197265625,293.2749938964844,294.875,292.1000061035156,294.1000061035156,2805716
2016-12-23,270.4735107421875,296.5625,297.3125,292.32501220703125,292.75,4752516
2016-12-26,267.9084777832031,293.75,296.5249938964844,292.5249938964844,294.63751220703125,4183864
2016-12-27,270.23419189453125,296.29998779296875,296.7250061035156,293.4750061035156,294.82501220703125,4899296
2016-12-28,270.5875244140625,296.6875,298.73748779296875,295.25,297.4750061035156,6507840
2016-12-29,274.7942199707031,301.29998779296875,301.98748779296875,295.36248779296875,296.25,8100816
2016-12-30,275.0222473144531,301.54998779296875,303.0,299.98748779296875,300.0,4066540
2017-01-02,272.9474182128906,299.2749938964844,302.5249938964844,298.01251220703125,302.36248779296875,3708656
2017-01-03,271.3058166503906,297.4750061035156,300.48748779296875,296.4375,300.20001220703125,3847500
2017-01-04,270.3025817871094,296.375,298.0,295.95001220703125,297.4624938964844,6967120
